t	P	cov	vg_HEreg_noa.mean	vg_HEreg_noa.CI95l	vg_HEreg_noa.CI95r	vg_HEreg_adj.mean	vg_HEreg_adj.CI95l	vg_HEreg_adj.CI95r	exp.vg	va.term1	va.term2	va.term3	va.term4	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
19	0.9	neg	0.06732188	0.06602758	0.06886725	0.08498022	0.08374683	0.0861454	0.962587589	0.938770132	0.060229868	0.036437177	-0.072849587	0.10597634	0.10451123	0.10753114	0.0841777	0.08286034	0.08593012	0.08401353	0.08235093	0.0852821	0.966405	0.9590495	0.9753757	0.9667944	0.9593879	0.9740637
19	0.9	pos	5.81948	5.7556911	5.90157418	0.08446034	0.08284252	0.08663513	1.647434267	0.938770132	0.060229868	0.036437177	0.611997091	0.1050651	0.10303975	0.10751378	6.55954423	6.49596992	6.61710104	6.55908293	6.4862449	6.62192706	0.9592144	0.9448334	0.9734701	1.6583014	1.6459199	1.6723815
2	0	neg	0.24729482	0.24330986	0.25146406	0.51804487	0.51195396	0.52571074	0.939711739	0.93058408	0.021441367	0.012322084	-0.024635792	0.56435685	0.55724763	0.57119282	0.27925668	0.27518127	0.28368464	0.27872677	0.27450031	0.28344082	0.9407049	0.9337908	0.9469092	0.940352	0.9327558	0.9477628
2	0	pos	3.61332726	3.52092277	3.70463627	0.5074347	0.49784644	0.51818931	1.171308664	0.93058408	0.021441367	0.012322084	0.206961133	0.55272195	0.54244815	0.56525057	3.82201617	3.74114438	3.91567753	3.80790686	3.73387333	3.91542615	0.9277169	0.9132225	0.9408297	1.1785757	1.1642624	1.1903851
2	0.9	neg	0.10990043	0.10861214	0.11155537	0.3777883	0.3707	0.38401075	0.931676264	0.93058408	0.021441367	0.020363024	-0.040712208	0.44273647	0.43682126	0.44938457	0.13636613	0.13483501	0.13822734	0.13626021	0.13465472	0.13840352	0.9348678	0.9267918	0.9449567	0.9346905	0.9257891	0.9454263
2	0.9	pos	4.16024791	4.09171367	4.23830989	0.36419681	0.35531263	0.3726724	1.314404861	0.93058408	0.021441367	0.020363024	0.342016389	0.42702318	0.4181733	0.43924851	4.63793102	4.55250673	4.71656571	4.63326409	4.54257641	4.72852428	0.9202797	0.9078499	0.9314893	1.3259964	1.3084346	1.3407661
20	0	neg	0.84382487	0.83229035	0.85533406	0.84443136	0.82871549	0.85961192	0.995171972	0.939117605	0.060159981	0.004108406	-0.00821402	0.85418202	0.8391915	0.86583174	0.853403	0.84130229	0.86556028	0.85320302	0.84261185	0.86377741	0.986926	0.9780637	0.9957742	0.98777	0.977926	0.9986193
20	0	pos	1.79138578	1.74074099	1.84364866	0.83525906	0.82671786	0.84544296	1.072390585	0.939117605	0.060159981	0.004108406	0.069004593	0.84362706	0.83488529	0.85383521	1.79606941	1.75092027	1.83327725	1.7920306	1.7394447	1.83821236	0.9784438	0.9706762	0.9873652	1.0597832	1.0486784	1.0678668
20	0.9	neg	0.07051502	0.06864705	0.07312035	0.08617827	0.08421022	0.08851308	0.963883702	0.939117605	0.060159981	0.035417957	-0.07081184	0.10654621	0.10411504	0.10923505	0.08706409	0.08455611	0.09001019	0.08708031	0.08471969	0.09026549	0.9594852	0.9472281	0.972058	0.9595918	0.9468678	0.9731973
20	0.9	pos	5.76124896	5.60885309	5.8947507	0.08647358	0.085604	0.08753853	1.629573863	0.939117605	0.060159981	0.035417957	0.594878321	0.10711397	0.1061229	0.10829463	6.49366231	6.36546546	6.62541163	6.48274311	6.38051501	6.58050234	0.9594037	0.9525737	0.9665474	1.6350146	1.6205822	1.6482642
3	0	neg	0.27556035	0.26961447	0.28219901	0.47434521	0.46551818	0.48539955	0.945978642	0.9312104	0.027149765	0.012389943	-0.024771465	0.51636761	0.5075405	0.52415109	0.30617654	0.30046392	0.31438578	0.30609278	0.2995763	0.3123234	0.9520112	0.9430862	0.9630032	0.9522869	0.9431908	0.9619296
3	0	pos	3.8744397	3.80522748	3.95199729	0.46454359	0.44861503	0.47868094	1.178851007	0.9312104	0.027149765	0.012389943	0.2081009	0.50503161	0.48890749	0.5183574	4.07240167	3.9897989	4.15531888	4.05884182	3.97484483	4.14849262	0.939416	0.9252349	0.9491667	1.1986072	1.1842085	1.2132665
3	0.9	neg	0.08309959	0.08209458	0.08436357	0.26383931	0.26023187	0.2673564	0.933252557	0.9312104	0.027149765	0.025124685	-0.050232292	0.32032447	0.31581235	0.32593619	0.10510377	0.10399878	0.10635533	0.10503422	0.10384056	0.10634106	0.9235297	0.9148437	0.9305299	0.9233478	0.9138132	0.9317466
3	0.9	pos	4.50981269	4.43498512	4.57366084	0.25461505	0.25039847	0.25880637	1.405477863	0.9312104	0.027149765	0.025124685	0.421993014	0.31033769	0.30562058	0.31693778	5.10266891	5.03610544	5.17796405	5.08997799	5.01150283	5.17101828	0.9289631	0.9221447	0.9362918	1.4289345	1.4197731	1.4387955
4	0	neg	0.30687832	0.30226082	0.31181327	0.45345055	0.44556878	0.46092786	0.952064531	0.931815384	0.032232528	0.011991532	-0.023974914	0.48912851	0.48254618	0.49567395	0.33540114	0.33051373	0.3413621	0.33522705	0.33037854	0.3407493	0.9499762	0.9387105	0.9596657	0.9501059	0.9399224	0.9602566
4	0	pos	3.71554462	3.65439633	3.76976537	0.44745412	0.44208841	0.45439292	1.177448651	0.931815384	0.032232528	0.011991532	0.201409206	0.48249298	0.47520011	0.48961072	3.86836402	3.80423745	3.92804501	3.86329725	3.79686766	3.94448113	0.9429238	0.9371293	0.9491231	1.1784922	1.171557	1.1842943
4	0.9	neg	0.06948021	0.06870191	0.07035228	0.19863748	0.19654753	0.20148327	0.935004679	0.931815384	0.032232528	0.029062987	-0.058106221	0.24688577	0.24371632	0.25035839	0.08923567	0.08833828	0.09025029	0.08914335	0.08830291	0.09013827	0.9330918	0.9262067	0.9408562	0.9325376	0.9265092	0.939906
4	0.9	pos	4.7427613	4.69163222	4.81366757	0.19324009	0.19012663	0.19649361	1.48125146	0.931815384	0.032232528	0.029062987	0.488140561	0.24102577	0.23746121	0.24486	5.40990617	5.33682937	5.47236958	5.41125204	5.3428009	5.47351608	0.9310224	0.9223786	0.9417723	1.499319	1.490999	1.5114934
5	0	neg	0.34503232	0.34068755	0.35025317	0.45667229	0.45092364	0.46178375	0.957750549	0.932399761	0.036739844	0.011396802	-0.022785858	0.48822413	0.48220627	0.49541496	0.3724929	0.36770017	0.37683402	0.37252748	0.36775705	0.37684114	0.9533451	0.9476531	0.9581594	0.9542985	0.9482124	0.9600185
5	0	pos	3.7390058	3.63474498	3.82863335	0.46768221	0.45791948	0.47726917	1.17195656	0.932399761	0.036739844	0.011396802	0.191420153	0.50153017	0.49010395	0.50920722	3.86896932	3.74378596	3.96779475	3.86676079	3.7632975	3.99676637	0.9613885	0.9499752	0.9701599	1.186995	1.1768618	1.1952604
5	0.9	neg	0.06265387	0.06187027	0.06339596	0.15912805	0.1571706	0.16115849	0.936886922	0.932399761	0.036739844	0.03227462	-0.064527303	0.20102388	0.19876136	0.20329726	0.08093371	0.07982191	0.08167478	0.08099739	0.08001147	0.08183038	0.9372386	0.930721	0.9440327	0.9368178	0.9292776	0.9424957
5	0.9	pos	4.93733554	4.89585612	4.99282498	0.15334516	0.14967862	0.15710419	1.543497209	0.932399761	0.036739844	0.03227462	0.542082984	0.19481288	0.19059269	0.199156	5.66299913	5.59215101	5.72839164	5.65144509	5.59439714	5.70407616	0.9315118	0.9180777	0.9440808	1.5572118	1.5425434	1.5733049
6	0	neg	0.38194666	0.37521603	0.38836139	0.46909693	0.46105965	0.47562179	0.962955585	0.932964232	0.040718256	0.010734198	-0.021461101	0.49678917	0.4876712	0.50506827	0.40832836	0.40071145	0.41717431	0.40744201	0.40002538	0.41663243	0.9497707	0.9408386	0.9572271	0.9494554	0.9408821	0.958046
