t	P	cov	vg_gcta	vg_GRMvarX	vg_GRMld	vg_gcta_wganc	vg_GRMvarX_ganc	vg_GRMld_ganc	var.prs.geno	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	exp.vgamma
12	0	neg	0.9853204	0.9925636	0.9748302	0.9854308	0.9926752	0.9752491	0.977844717156761	0.362719686340369	0.0296853850101259	-0.0142987135407906	0.935969428161158	0.0556895273482719	0.00715178726937959	0.984512029238019	0.0485426010768609
12	0	pos	0.9935594	1.0010799	1.1290975	0.9930523	1.0005585	1.0334286	1.12872305588216	0.362719686340369	0.0296853850101259	0.120121080195344	0.935969428161158	0.0556895273482719	0.00715178726937959	1.11893182297415	0.182962394812995
12	0.9	neg	0.9932945	1.0356416	0.9482248	0.9933272	1.0356679	0.9490599	0.949674612417479	0.362719686340369	0.168825855539295	-0.0813192264749752	0.935969428161158	0.0556895273482719	0.0406734359003999	0.951013164934855	0.0150437367736965
12	0.9	pos	0.9869751	1.0289336	1.7129507	0.9864413	1.0283003	0.948381	1.72383090728407	0.362719686340369	0.168825855539295	0.683149102676812	0.935969428161158	0.0556895273482719	0.0406734359003999	1.71548149408664	0.779512065925483
13	0	neg	0.9960191	1.0028101	0.9896229	0.9960858	1.002881	0.9903086	0.988405315353849	0.384427793327541	0.0277000032304767	-0.0133424043897849	0.936412302885129	0.0570119221764343	0.00667347014020272	0.986755290811981	0.0503429879268521
13	0	pos	0.991694	0.9988522	1.1058373	0.9911568	0.9983023	1.0196738	1.10855163218039	0.384427793327541	0.0277000032304767	0.112087288351638	0.936412302885129	0.0570119221764343	0.00667347014020272	1.1121849835534	0.175772680668275
13	0.9	neg	0.9936335	1.0361712	0.9519232	0.993726	1.0362574	0.9527276	0.953208297269687	0.384427793327541	0.168284183091637	-0.0810583162944487	0.936412302885129	0.0570119221764343	0.0405429364605574	0.952908845227672	0.016496542342543
13	0.9	pos	1.0013059	1.0439697	1.7237139	1.0004577	1.0429803	0.9614979	1.71947802772519	0.384427793327541	0.168284183091637	0.680957240266994	0.936412302885129	0.0570119221764343	0.0405429364605574	1.71492440178911	0.778512098903986
14	0	neg	0.9910104	0.9976627	0.9861728	0.9911065	0.9977611	0.9867798	0.988101190139783	0.405396442498639	0.0258462531089591	-0.012449498943056	0.936840091670172	0.0580736788283875	0.00622686564054209	0.988691137196045	0.0518510455258736
14	0	pos	0.9989849	1.0055665	1.1141974	0.998637	1.0052086	1.0400234	1.11052792079544	0.405396442498639	0.0258462531089591	0.104586140331055	0.936840091670172	0.0580736788283875	0.00622686564054209	1.10572677647016	0.168886684799985
14	0.9	neg	0.9993232	1.0418357	0.9561211	0.9993761	1.0419034	0.9568416	0.954072236150421	0.405396442498639	0.166892249123203	-0.0803878562321806	0.936840091670172	0.0580736788283875	0.0402075924644504	0.954733506730829	0.0178934150606573
14	0.9	pos	1.0005866	1.042729	1.7204568	1.0002905	1.0423612	0.9617277	1.717362304736	0.405396442498639	0.166892249123203	0.675324818393674	0.936840091670172	0.0580736788283875	0.0402075924644504	1.71044618135668	0.773606089686512
15	0	neg	0.9950188	1.0016398	0.9841311	0.9950637	1.0016849	0.9845445	0.985086163961471	0.425650822501482	0.0241160039176405	-0.0116160808306613	0.937253308398755	0.0588981131856073	0.00581001491972087	0.990345355673421	0.0530920472746668
15	0	pos	0.9966776	1.0024785	1.1038502	0.9964436	1.0022373	1.0357269	1.10226405252616	0.425650822501482	0.0241160039176405	0.0975847353704185	0.937253308398755	0.0588981131856073	0.00581001491972087	1.0995461718745	0.162292863475747
15	0.9	neg	0.9977255	1.0386105	0.9542805	0.9978042	1.0387077	0.9550556	0.952945397051557	0.425650822501482	0.164780008617249	-0.0793704423797549	0.937253308398755	0.0588981131856073	0.0396987125979707	0.956479691802578	0.0192263834038231
15	0.9	pos	0.9940157	1.0351219	1.700866	0.9935173	1.0345072	0.9513116	1.70545524289266	0.425650822501482	0.164780008617249	0.666777696261992	0.937253308398755	0.0588981131856073	0.0396987125979707	1.70262783044432	0.76537452204557
16	0	neg	0.9974146	1.0027036	0.9877364	0.9974676	1.0027577	0.9881837	0.986420123114788	0.445215263966077	0.0225013156398579	-0.0108383255435458	0.937652449448611	0.0595067800629492	0.0054210050731205	0.991741909041135	0.0540894595925239
16	0	pos	0.9960083	1.0015051	1.0906141	0.99575	1.0012385	1.0304189	1.09112921325503	0.445215263966077	0.0225013156398579	0.0910509444143692	0.937652449448611	0.0595067800629492	0.0054210050731205	1.09363117899905	0.155978729550439
16	0.9	neg	1.0017575	1.0420563	0.9611155	1.0018861	1.042184	0.9619468	0.960253639077289	0.445215263966077	0.162062700267339	-0.0780615823570836	0.937652449448611	0.0595067800629492	0.0390440601062738	0.95814170726075	0.0204892578121394
16	0.9	pos	0.9975508	1.038625	1.6931611	0.9974367	1.0384365	0.9629656	1.69767649927082	0.445215263966077	0.162062700267339	0.655782184022427	0.937652449448611	0.0595067800629492	0.0390440601062738	1.69198547364026	0.75433302419165
17	0	neg	0.999255	1.0046176	0.9918527	0.9992563	1.0046167	0.9922529	0.992501829637897	0.464113268731853	0.0209946091139933	-0.0101125823875777	0.938037994289031	0.059919597943566	0.00505801013312919	0.992903019978149	0.0548650256891176
17	0	pos	0.9968217	1.0018375	1.082823	0.9964772	1.001487	1.0281585	1.08435511508985	0.464113268731853	0.0209946091139933	0.0849540985973958	0.938037994289031	0.059919597943566	0.00505801013312919	1.08796970096312	0.149931706674091
17	0.9	neg	0.9916459	1.0311316	0.9409846	0.991711	1.0312125	0.941801	0.947227391910341	0.464113268731853	0.158842327265708	-0.0765104085714277	0.938037994289031	0.059919597943566	0.0382682095445291	0.959715393205699	0.0216773989166674
17	0.9	pos	1.0044315	1.0452511	1.6906676	1.0042934	1.0450508	0.97699	1.690004673301	0.464113268731853	0.158842327265708	0.642751034739512	0.938037994289031	0.059919597943566	0.0382682095445291	1.67897683651664	0.740938842227607
18	0	neg	1.0000616	1.0049385	0.9895907	1.0000815	1.0049578	0.9899051	0.989462689460384	0.482367538079311	0.0195887302102794	-0.00943540539592371	0.938410406056824	0.0601549651290152	0.00471930653058401	0.993849272320499	0.0554388662636755
