t	P	cov	vgamma_GRMstd	vgamma_GRMstd_ganc	vgamma_GRMvarX	vgamma_GRMvarX_ganc	vgamma_GRMld	vgamma_GRMld_ganc	var.prs.lanc	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3
9	0.9	pos	0.0792306	0.0630236	0.1295611	0.1030926	0.7359215		0.740524358928165	0.5	0.157562352431152	0.637571652370132	0.938770132112654	0.0602298678873466	0.0379598386837914
10	0	neg	0.059869	0.058701125	0.0597708	0.058755125	0.05757	0.05598375	0.0603254274085746	0.5	0.000244140625	-0.000117596482557117	0.938770132112654	0.0602298678873466	5.88182303587369e-05
10	0	pos	0.0652631111111111	0.0640365555555556	0.064829	0.0634499	0.0646158	0.0631775	0.0614897133046811	0.5	0.000244140625	0.000987908210877608	0.938770132112654	0.0602298678873466	5.88182303587369e-05
10	0.9	neg	0.0666738	0.0687455	0.1068424	0.1101638			0.0239655126823853	0.5	0.149684234809595	-0.0720991826242024	0.938770132112654	0.0602298678873466	0.0360618467496017
10	0.9	pos	0.079439	0.0651901	0.1271556	0.1043582	0.6960739		0.703481142328633	0.5	0.149684234809595	0.605693069751626	0.938770132112654	0.0602298678873466	0.0360618467496017
11	0	neg	0.063552625	0.0626532222222222	0.062676	0.0626845555555556	0.0612995	0.0612432	0.0603615924044261	0.5	0.0001220703125	-5.87982412785585e-05	0.938770132112654	0.0602298678873466	2.94091151793684e-05
11	0	pos	0.0647276666666667	0.063727	0.0647536666666667	0.0637526666666667	0.0592311	0.0579866	0.0609010034774133	0.5	0.0001220703125	0.000493954105438804	0.938770132112654	0.0602298678873466	2.94091151793684e-05
11	0.9	neg	0.0586817	0.0607468	0.0922517	0.095501			0.0258564963628916	0.5	0.142200023069115	-0.0684942234929922	0.938770132112654	0.0602298678873466	0.0342587544121216
11	0.9	pos	0.0730597	0.0583447	0.1148137	0.0916897	0.6680593		0.672671497741595	0.5	0.142200023069115	0.575408416264044	0.938770132112654	0.0602298678873466	0.0342587544121216
12	0	neg	0.0603362857142857	0.0603721428571429	0.060346	0.0603822857142857	0.0581098	0.0581386	0.0603483650422496	0.5	6.103515625e-05	-2.93991206392793e-05	0.938770132112654	0.0602298678873466	1.47045575896842e-05
12	0	pos	0.0598881111111111	0.059958875	0.0599041111111111	0.059977375	0.0592051	0.0583736	0.060664376900704	0.5	6.103515625e-05	0.000246977052719402	0.938770132112654	0.0602298678873466	1.47045575896842e-05
12	0.9	neg	0.0580903	0.0599903	0.0895933	0.0925261			0.0275425914829569	0.5	0.135090021915659	-0.0650695123183426	0.938770132112654	0.0602298678873466	0.0325458166915157
12	0.9	pos	0.0766914	0.0641561	0.118313	0.0989717	0.6461729		0.642324674732658	0.5	0.135090021915659	0.546637995450842	0.938770132112654	0.0602298678873466	0.0325458166915157
13	0	neg	0.0618105	0.061915125	0.061813125	0.0618722857142857	0.0605307777777778	0.0605914444444445	0.0603753086026674	0.5	3.0517578125e-05	-1.46995603196396e-05	0.938770132112654	0.0602298678873466	7.35227879484211e-06
13	0	pos	0.0622768571428571	0.0613535714285714	0.06139775	0.0613455714285714	0.0598032	0.0589865	0.0605669633562178	0.5	3.0517578125e-05	0.000123488526359701	0.938770132112654	0.0602298678873466	7.35227879484211e-06
13	0.9	neg	0.0602753	0.0618863	0.0914493	0.0938929			0.0290893247482168	0.5	0.128335520819876	-0.0618160367024255	0.938770132112654	0.0602298678873466	0.0309185258569398
13	0.9	pos	0.0758402	0.064422	0.1150048	0.0977084	0.6170542		0.612897260546104	0.5	0.128335520819876	0.5193060956783	0.938770132112654	0.0602298678873466	0.0309185258569398
14	0	neg	0.0580041111111111	0.059117	0.058978875	0.059101375	0.0581363	0.0581334	0.0603137757333605	0.5	1.52587890625e-05	-7.34978015981981e-06	0.938770132112654	0.0602298678873466	3.67613939742106e-06
14	0	pos	0.0645708888888889	0.064071	0.0645636666666667	0.0640624444444445	0.0645028888888889	0.0639874444444445	0.0604996764347222	0.5	1.52587890625e-05	6.17442631798505e-05	0.938770132112654	0.0602298678873466	3.67613939742106e-06
14	0.9	neg	0.0627191	0.0642032	0.0935293	0.0957421	0.053071	0.053181	0.0305773643098064	0.5	0.121918744778882	-0.0587252348673042	0.938770132112654	0.0602298678873466	0.0293725995640928
14	0.9	pos	0.076173	0.0660213333333333	0.1104048	0.0939513	0.5937555		0.587063671654153	0.5	0.121918744778882	0.493340790894385	0.938770132112654	0.0602298678873466	0.0293725995640928
15	0	neg	0.059127125	0.05840475	0.058356625	0.0583951111111111	0.0580408	0.0580396	0.0603750042098014	0.5	7.62939453125e-06	-3.67489007990991e-06	0.938770132112654	0.0602298678873466	1.83806969871053e-06
15	0	pos	0.06126	0.060772	0.0612414444444444	0.0607531111111111	0.0606925	0.0602088	0.0604996498331423	0.5	7.62939453125e-06	3.08721315899253e-05	0.938770132112654	0.0602298678873466	1.83806969871053e-06
15	0.9	neg	0.0568759	0.0582578	0.0833419	0.0853661			0.0322168866513009	0.5	0.115822807539938	-0.055788973123939	0.938770132112654	0.0602298678873466	0.0279039695858882
15	0.9	pos	0.0699517142857143	0.0594578	0.1027588	0.087338	0.5597404		0.562566174361345	0.5	0.115822807539938	0.468673751349666	0.938770132112654	0.0602298678873466	0.0279039695858882
16	0	neg	0.0615073	0.0616686	0.0615123	0.0616738	0.0619504	0.0620915	0.060360969120695	0.5	3.814697265625e-06	-1.83744503995495e-06	0.938770132112654	0.0602298678873466	9.19034849355264e-07
16	0	pos	0.06425325	0.0651017142857143	0.064253375	0.0650972857142857	0.061905	0.0614378	0.0604997406432902	0.5	3.814697265625e-06	1.54360657949626e-05	0.938770132112654	0.0602298678873466	9.19034849355264e-07
16	0.9	neg	0.0568168	0.0581651	0.0819456	0.083889			0.033584657253348	0.5	0.110031667162941	-0.052999524467742	0.938770132112654	0.0602298678873466	0.0265087711065938
16	0.9	pos	0.0782371428571429	0.06922875	0.1067699	0.093296	0.5397876		0.53817952763875	0.5	0.110031667162941	0.445240063782182	0.938770132112654	0.0602298678873466	0.0265087711065938
17	0	neg	0.0605455	0.0608655714285714	0.0597873333333333	0.06068175	0.0583557	0.0584576666666667	0.0603828582093621	0.5	1.9073486328125e-06	-9.18722519977477e-07	0.938770132112654	0.0602298678873466	4.59517424677632e-07
17	0	pos	0.0627802857142857	0.0619955714285714	0.061517625	0.0619864285714286	0.0604321111111111	0.059671	0.0604918893749001	0.5	1.9073486328125e-06	7.71803289748131e-06	0.938770132112654	0.0602298678873466	4.59517424677632e-07
17	0.9	neg	0.0637723	0.064959	0.0904489	0.0921318	0.048209	0.048306	0.0349253222232119	0.5	0.104530083804794	-0.0503495482443549	0.938770132112654	0.0602298678873466	0.0251833325512641
17	0.9	pos	0.0686121666666667	0.0585603333333333	0.0958119	0.0818295	0.5161347		0.51505709164809	0.5	0.104530083804794	0.422978060593073	0.938770132112654	0.0602298678873466	0.0251833325512641
18	0	neg	0.0599195	0.06039	0.0599045	0.060002625	0.0587124444444444	0.0587937777777778	0.0603814013955078	0.5	9.5367431640625e-07	-4.59361259988738e-07	0.938770132112654	0.0602298678873466	2.29758712338816e-07
18	0	pos	0.0630888333333333	0.062405	0.0630893333333333	0.062405	0.0578718	0.0584221111111111	0.0605257834168945	0.5	9.5367431640625e-07	3.85901644874066e-06	0.938770132112654	0.0602298678873466	2.29758712338816e-07
18	0.9	neg	0.056036	0.0572307	0.0783634	0.0800352	0.050781	0.050752	0.0361792346768971	0.5	0.0993035796145545	-0.0478320708321372	0.938770132112654	0.0602298678873466	0.0239241659237009
18	0.9	pos	0.0737187142857143	0.06277	0.0954912	0.0816742	0.4981496		0.491247986208601	0.5	0.0993035796145545	0.40182915756342	0.938770132112654	0.0602298678873466	0.0239241659237009
19	0	neg	0.0622928888888889	0.0624471111111111	0.0622933333333333	0.0624472222222222	0.0623293333333333	0.0624661111111111	0.0603707796201911	0.5	4.76837158203125e-07	-2.29680629994369e-07	0.938770132112654	0.0602298678873466	1.14879356169408e-07
19	0	pos	0.0661398	0.0654396	0.066142	0.0654414	0.0587334	0.0581044	0.0605350976345502	0.5	4.76837158203125e-07	1.92950822437033e-06	0.938770132112654	0.0602298678873466	1.14879356169408e-07
19	0.9	neg	0.0610483	0.0621238	0.0842496	0.0857331			0.0372243700928045	0.5	0.0943384006338268	-0.0454404672905303	0.938770132112654	0.0602298678873466	0.0227279576275158
19	0.9	pos	0.0740308333333333	0.0658045	0.0969705	0.0851028	0.4755676		0.471933976602623	0.5	0.0943384006338268	0.381737699685248	0.938770132112654	0.0602298678873466	0.0227279576275158
20	0	neg	0.05939675	0.059475375	0.059393125	0.0596234285714286	0.059565625	0.059615125	0.0604082191559053	0.5	2.38418579101563e-07	-1.14840314997185e-07	0.938770132112654	0.0602298678873466	5.7439678084704e-08
20	0	pos	0.0638589	0.0635649	0.0638466	0.0635529	0.064171	0.0638694	0.0605227200136622	0.5	2.38418579101563e-07	9.64754112185164e-07	0.938770132112654	0.0602298678873466	5.7439678084704e-08
20	0.9	neg	0.0615799	0.0626057	0.0838349	0.0852314	0.051125	0.05128	0.0385003915152005	0.5	0.0896214806021355	-0.0431684439260038	0.938770132112654	0.0602298678873466	0.0215915597461401
20	0.9	pos	0.071336	0.063711	0.0858174	0.0728933	0.4424613		0.451096443768636	0.5	0.0896214806021355	0.362650814700986	0.938770132112654	0.0602298678873466	0.0215915597461401
