t	P	cov	vg_HEreg_noa.mean	vg_HEreg_noa.CI95l	vg_HEreg_noa.CI95r	vg_HEreg_adj.mean	vg_HEreg_adj.CI95l	vg_HEreg_adj.CI95r	exp.vg	va.term1	va.term2	va.term3	va.term4	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
17	0.9	pos	5.51590099	5.39381471	5.65077882	0.15109742	0.14813006	0.15390258	1.447161393	0.938770132	0.060229868	0.025183333	0.422978061	0.17490236	0.17170793	0.17890347	5.97052814	5.84538856	6.09858547	5.95491412	5.82414218	6.1107399	0.9589972	0.9469887	0.97034	1.4477684	1.4315948	1.4666869
18	0	neg	0.99100102	0.97248502	1.00809998	0.98954731	0.97180853	1.00529759	0.99899977	0.938770132	0.060229868	2.3e-07	-4.59e-07	0.99060028	0.97134668	1.00500284	0.99063211	0.97504843	1.00607651	0.99058916	0.97436434	1.00838523	0.9936977	0.984468	1.0031276	0.9935263	0.9839687	1.0028839
18	0	pos	1.00126435	0.98166319	1.02259834	0.99842302	0.97336584	1.02159545	0.999004089	0.938770132	0.060229868	2.3e-07	3.86e-06	0.9980137	0.97730681	1.01998943	1.00121343	0.98093512	1.02053062	1.00166367	0.98223305	1.0233768	0.9999354	0.9876505	1.0111889	0.9997215	0.9884305	1.0156921
18	0.9	neg	0.14479807	0.14194027	0.14785629	0.16607687	0.16371536	0.1683781	0.975092095	0.938770132	0.060229868	0.023924166	-0.047832071	0.19026565	0.1869956	0.19294761	0.16631128	0.16336212	0.1694355	0.16633764	0.16336299	0.16987024	0.9670847	0.9593406	0.9750537	0.9681186	0.9582801	0.9774231
18	0.9	pos	5.50168833	5.38787232	5.63549272	0.16834525	0.16505322	0.17173888	1.424753323	0.938770132	0.060229868	0.023924166	0.401829158	0.19318787	0.1898668	0.19654141	5.92831431	5.80617895	6.05276409	5.92315296	5.81078108	6.04284341	0.9777996	0.9696661	0.9866422	1.4455169	1.4344738	1.4595518
19	0	neg	0.9846344	0.96674952	1.00397123	0.98285796	0.96866022	0.99875825	0.998999885	0.938770132	0.060229868	1.15e-07	-2.3e-07	0.9822216	0.96916747	0.9959337	0.98257247	0.9659866	0.99666816	0.98205062	0.96357719	1.00424219	0.990249	0.9784793	1.0026711	0.9914979	0.9805856	1.0031999
19	0	pos	0.99336155	0.97521627	1.01186947	0.99029229	0.97367778	1.009632	0.999002044	0.938770132	0.060229868	1.15e-07	1.93e-06	0.98964823	0.97523731	1.00862416	0.99142476	0.97441828	1.01172757	0.99095866	0.97500644	1.01648205	0.9910586	0.9814703	1.0028904	0.992436	0.9831882	1.0051058
19	0.9	neg	0.16000474	0.1580786	0.16229151	0.18177925	0.17861896	0.18521634	0.97628749	0.938770132	0.060229868	0.022727958	-0.045440467	0.20660113	0.20338078	0.209767	0.18251678	0.18005699	0.18492128	0.18261574	0.1793897	0.18463757	0.9767065	0.9681559	0.9850247	0.9760728	0.9662433	0.98486
19	0.9	pos	5.36542332	5.26538708	5.47780718	0.18082413	0.17843194	0.1834924	1.403465657	0.938770132	0.060229868	0.022727958	0.3817377	0.20614582	0.20362971	0.20982689	5.75762637	5.63698023	5.8708017	5.76367973	5.62822342	5.8793011	0.9746368	0.9666563	0.9860583	1.4165654	1.4037254	1.4288745
2	0	neg	0.31294673	0.30887895	0.31838051	0.33527216	0.33093087	0.33964377	0.983952767	0.938770132	0.060229868	0.015057467	-0.0301047	0.36227382	0.35845863	0.36704664	0.33788843	0.3334564	0.34308609	0.33802863	0.33262602	0.34365249	0.9832358	0.976044	0.9908473	0.9834767	0.9760134	0.9903937
2	0	pos	4.58150359	4.50611881	4.66270198	0.32017772	0.31204093	0.32760473	1.266961969	0.938770132	0.060229868	0.015057467	0.252904502	0.34534591	0.33750942	0.3524395	4.76521731	4.67168956	4.86458189	4.76664283	4.68036651	4.8679651	0.9726485	0.9576591	0.9883053	1.2655726	1.2511032	1.2775615
